id,title,category,priority,effort,description,notes
F001,Agent timeout configuration,reliability,high,small,Add per-agent max execution time in frontmatter (e.g. timeout: 600). Currently runClaude has no ceiling — long pentests or bad prompts can hang forever.,DONE — merged PR #1.
F002,Kali VM SSH integration,pentesting,high,medium,Add KALI_VM_HOST/USER/KEY to env and update pentester agent prompt to know it can SSH in. Document Kali VM setup (UTM/VMware) in README.,DONE — merged PR #2.
F003,Per-agent Slack channel routing,slack,high,small,Allow agent definitions to specify a default Slack channel to post results to. Useful for scheduled agents (marketing report → #marketing).,DONE — schedules have per-schedule slack_channel field. Scheduled runs post results as threads to the configured channel.
F004,Thread-aware @mentions,slack,high,small,When someone @mentions Winston inside an existing thread that has a session the bot should resume that session rather than starting fresh.,DONE — merged PR #3.
F005,Docker Kali sidecar,pentesting,medium,medium,Run a persistent Kali container alongside Winston for light recon and scripted scans. Claude execs in via docker exec. Faster than VM for non-destructive work.,Complement to VM — not a replacement. VM for exploits; Docker for recon.
F006,Agent result streaming,ux,high,large,Stream Claude output token-by-token back to Slack as the agent thinks rather than posting the full result at the end. Use Slack message update API to edit the thinking... message in place.,DONE — merged PR #4. Uses StreamingSlackUpdater with mutex-protected message updates.
F007,Web dashboard chat persistence,frontend,high,medium,Store chat history in localStorage or a simple SQLite file so conversation history survives page refreshes. Currently the dashboard chat is ephemeral.,Simple: serialize session ID + messages to localStorage.
F008,Multi-turn voice conversations,voice,medium,large,After a voice response plays back automatically record the next question (push-to-talk or VAD). Currently voice is single-turn request/response.,Requires WebRTC or MediaRecorder + VAD library in the browser.
F009,Agent chaining / delegation,agents,high,large,Let Winston orchestrate other agents in sequence — e.g. youtube agent finds topics then hands off to marketing agent to write promotional copy. Implement as a tool call or structured output protocol.,This is the real power of an orchestrator pattern.
F010,Scheduled agent results digest,slack,medium,small,Add a weekly digest mode: collect all scheduled agent outputs from the week and have Winston summarize them into a single Slack message.,Cron: 0 9 * * 1 running a meta-prompt against stored outputs.
F011,Slack DM support,slack,medium,small,Allow Winston to receive and respond to direct messages not just channel commands. Some users prefer DMs for sensitive queries.,Requires message.im event subscription.
F012,Agent health / last-run dashboard,frontend,medium,small,Show each agent's last run time status (success/error) and response time on the dashboard home page. Read from audit log or add a runs table.,Makes it easy to spot a broken agent or hanging schedule.
F013,Secrets manager integration,security,medium,medium,Pull secrets from macOS Keychain or 1Password CLI instead of .env file. Eliminates the risk of accidentally committing credentials and makes rotation easier.,op read op://vault/item/field for 1Password; security find-generic-password for Keychain.
F014,Rate limit per Slack user,security,medium,small,Current rate limiting is per IP. Since all Slack webhooks come from Slack's IPs this is effectively global. Add per-user_id rate limiting using the Slack user_id in the webhook payload.,Prevents one user from hammering the system in a shared workspace.
F015,Agent versioning / rollback,agents,low,medium,Store agent .md file snapshots with timestamps so you can roll back a prompt change if an agent starts behaving worse after an edit.,Git blame on ~/.claude/agents/ is a reasonable MVP.
F016,Structured output formatting,ux,medium,medium,Add a flag or frontmatter option (output: markdown|table|json) so agents format their Slack responses consistently. Currently formatting is ad-hoc.,Slack renders mrkdwn — tables and code blocks look great.
F017,Image output in Slack,ux,medium,medium,When an agent generates an image (e.g. Nano Banana thumbnail) upload it directly to Slack via files.upload API rather than posting a URL.,Requires files:write scope.
F018,MCP server auto-discovery,agents,low,large,Scan ~/.claude/mcp*.json or a config file and surface available MCP tools to each agent at spawn time. Let agent frontmatter declare which MCPs to enable.,Powerful but complex. Claude CLI already handles MCP if configured globally.
F019,Conversation export,frontend,low,small,Add an Export button to the web dashboard chat that downloads the conversation as a Markdown or PDF file.,Simple: serialize messages array to Markdown.
F020,Linux systemd service generator,ops,medium,small,Add a make install-services target that writes and loads launchd plists (macOS) or systemd units (Linux) automatically using the current path and .env values.,DONE — merged PR #5.
F021,Cloudflare tunnel auto-start,ops,low,small,Add a launchd plist / systemd unit for cloudflared tunnel run to the service generator. Currently users have to start it manually or set it up separately.,cloudflared has its own install-as-service command: cloudflared service install.
F022,Agent marketplace / sharing,community,low,large,A format and repository for sharing agent .md definitions. Someone builds a great researcher agent — they push it to a registry and others can install it with one command.,GitHub repo + a CLI installer is the simplest version.
F023,Pentester report generation,pentesting,medium,medium,After a pentest session have the pentester agent auto-generate a structured report (scope findings severity recommendations) and post it to Slack or save to a file.,Prompt engineering + a report template in the agent system prompt.
F024,Wake-on-LAN support,ops,low,small,If Winston is running on a machine that sleeps add a wake-on-LAN trigger so it auto-wakes when a Slack command arrives. Cloudflare Worker can act as the WoL proxy.,Niche but useful for home lab setups.
F025,Budget / usage tracking,ops,medium,small,Log each Claude invocation with model and approximate token count. Surface a weekly usage summary so you know which agents are heaviest and can optimize prompts or model choices.,Claude CLI --output-format json includes token counts in the response.
F026,Test suite + CI/CD pipeline,reliability,high,medium,Unit/integration/security tests for all packages. GitHub Actions with 5 jobs: Go tests with race detector and coverage threshold; build verification; security checks; golangci-lint; frontend build.,DONE — 58 tests passing. make test / make test-security / make test-cover.
F027,Session persistence,reliability,high,small,Persist agent sessions to disk so thread conversations survive router restarts. Currently sessions are in-memory only.,DONE — sessions saved to ~/.config/winston/sessions.json. Restored on startup. Stubs stored before run.
F028,Schedule persistence,reliability,high,small,Persist scheduled agent runs to disk so they survive router restarts. Currently schedules are in-memory only.,DONE — schedules saved to ~/.config/winston/schedules.json. Loaded on startup with cron re-registration.
F029,Threaded scheduled runs,slack,high,small,Scheduled agent runs should post results as Slack threads so the owner can reply and continue the conversation. Tag the owner for notifications.,DONE — uses PostMessageTS for trigger message then SpawnAgentInThreadStreaming for threaded reply. Tags @owner.
F030,Schedule editing,frontend,medium,small,Allow editing existing schedules (cron prompt timezone agent) from the web UI and API instead of delete-and-recreate.,DONE — PUT /schedules/{id} with partial updates. Web UI has inline editor with parseCron() reverse-parsing.
F031,Google Calendar sync,frontend,medium,medium,Sync scheduled agent runs to Google Calendar as recurring events so they appear alongside your regular calendar.,DONE — POST /schedules/sync-calendar spawns winston agent with Google Workspace MCP to create/update events.
F032,Runtime model switching,ux,high,small,Change an agent's Claude model (opus/sonnet/haiku) from the web UI without editing files. Show full model versions.,DONE — model switcher on agent chat page. Shows Opus 4.6 / Sonnet 4.6 / Haiku 4.5. Triggers restart + Slack notification.
F033,Runtime prompt editing,ux,medium,small,Edit agent system prompts from the web dashboard with markdown preview. No need to SSH into the machine.,DONE — inline editor with markdown preview on dashboard. PUT /api/agents/{agent}/prompt endpoint.
F034,Workspace navigation,frontend,medium,medium,Group agents by workspace prefix on the dashboard with a filterable dropdown and color-coded workspace avatars.,DONE — agents with hyphenated names auto-group. Dropdown with colored initials and checkmarks.
F035,Tool icon library,frontend,low,small,Auto-detect tools from agent system prompts and display inline SVG icons (Git Figma Slack YouTube Google etc.) on agent cards with clickable overflow.,DONE — 17 tool icons with stroke/fill distinction. ToolOverflow popover for +N hidden tools.
F036,Glass morphism UI redesign,frontend,medium,large,Redesign the web dashboard with a dark glass-morphism design language: ambient orbs noise texture glass cards gradient text custom scrollbar.,DONE — full redesign across all pages (home schedules voice agent-chat). Design token system in globals.css.
